Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,VLA,VLA,VLA,VLA,VLA,VLA,,VLA,,,,,,VLA,VLA,VLA,,,,,,,,,,,,,,,,
,,,,VMC,VMC,VMC,VMC,,VMC,,VMC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,VMS,,,,,,,
,,,,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,VMI,,,,,,,,,
,,,,VNC,VNC,VNC,VNC,,,,,,,,,,,VNC,,,,,,,,,,,,,,,,,
,,,,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,TMB,,,TMB,
,,,,VND,VND,VND,VND,VND,VND,,VND,,VND,,VND,VND,,,,VND,,,,VND,,,VND,,,,,,,,
,,,,VNF,VNF,VNF,VNF,VNF,,,VNF,,,,,,,,,,,,VNF,,,,,,VNF,,,,,,
,,,,VNR,VNR,VNR,VNR,VNR,,,,VNR,VNR,,,,,,VNR,,,,,,VNR,,,,VNR,VNR,VNR,,,,
,,,,VNT,VNT,VNT,VNT,,,,VNT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,VSA,,,,,,,
,,,,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,VTC,,,,,,,,,,,VTC
,,,,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,VTH,,VTH,VTH,VTH,VTH,VTH,VTH,,,
,,,,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,VTJ,,
,,,,,VTL,VTL,VTL,,VTL,,VTL,,,,,,,,,,,,VTL,,,VTL,,,,VTL,VTL,,,,
,,,,VTS,VTS,VTS,VTS,,,,VTS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VTV,VTV,VTV,VTV,,,,VTV,,,VTV,VTV,,VTV,VTV,VTV,,,,,,,,,,,,,,,,
,,,,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,CLH,,CLH,,
,,,,VXB,VXB,VXB,VXB,VXB,,,VXB,,,,,,,VXB,VXB,,,,,,,,,,,,,,,,
,,,,WCS,WCS,WCS,WCS,WCS,WCS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WSS,WSS,WSS,,,WSS,,,,,,WSS,,,WSS,,,,,,WSS,,,,,,,,WSS,WSS,,WSS
